dataset,classifier,rate,seed,gap_intercept
segment,RF,0.2,42,0.0019
segment,RF,0.2,1,0.0014
segment,RF,0.2,7,0.0012
segment,RF,0.2,13,0.0008
segment,RF,0.2,99,0.0018
segment,RF,0.25,42,0.0014
segment,RF,0.25,1,0.0011
segment,RF,0.25,7,0.0014
segment,RF,0.25,13,0.0015
segment,RF,0.25,99,0.0022
segment,RF,0.3,42,0.0017
segment,RF,0.3,1,0.0027
segment,RF,0.3,7,0.0016
segment,RF,0.3,13,0.0004
segment,RF,0.3,99,0.0014
segment,RF,0.35,42,0.0019
segment,RF,0.35,1,0.0016
segment,RF,0.35,7,0.0009
segment,RF,0.35,13,0.0026
segment,RF,0.35,99,0.0014
vehicle,LogReg,0.05,42,0.4626
vehicle,LogReg,0.05,1,0.4446
vehicle,LogReg,0.05,7,0.4872
vehicle,LogReg,0.05,13,0.4839
vehicle,LogReg,0.05,99,0.4905
vehicle,LogReg,0.1,42,0.5713
vehicle,LogReg,0.1,1,0.5271
vehicle,LogReg,0.1,7,0.5466
vehicle,LogReg,0.1,13,0.5551
vehicle,LogReg,0.1,99,0.5408
vehicle,LogReg,0.15,42,0.572
vehicle,LogReg,0.15,1,0.5496
vehicle,LogReg,0.15,7,0.5611
vehicle,LogReg,0.15,13,0.5717
vehicle,LogReg,0.15,99,0.5423
vehicle,LogReg,0.2,42,0.5592
vehicle,LogReg,0.2,1,0.518
vehicle,LogReg,0.2,7,0.5645
vehicle,LogReg,0.2,13,0.5599
vehicle,LogReg,0.2,99,0.56
vehicle,LogReg,0.25,42,0.5563
vehicle,LogReg,0.25,1,0.5678
vehicle,LogReg,0.25,7,0.565
vehicle,LogReg,0.25,13,0.569
vehicle,LogReg,0.25,99,0.5751
vehicle,LogReg,0.3,42,0.5346
vehicle,LogReg,0.3,1,0.5414
vehicle,LogReg,0.3,7,0.5416
vehicle,LogReg,0.3,13,0.557
vehicle,LogReg,0.3,99,0.5338
vehicle,LogReg,0.35,42,0.5187
vehicle,LogReg,0.35,1,0.5239
vehicle,LogReg,0.35,7,0.5119
vehicle,LogReg,0.35,13,0.4938
vehicle,LogReg,0.35,99,0.5025
vehicle,RF,0.05,42,0.3099
vehicle,RF,0.05,1,0.3728
vehicle,RF,0.05,7,0.3862
vehicle,RF,0.05,13,0.3111
vehicle,RF,0.05,99,0.4197
vehicle,RF,0.1,42,0.2237
vehicle,RF,0.1,1,0.1941
vehicle,RF,0.1,7,0.1867
vehicle,RF,0.1,13,0.2318
vehicle,RF,0.1,99,0.2293
vehicle,RF,0.15,42,0.1716
vehicle,RF,0.15,1,0.1498
vehicle,RF,0.15,7,0.1509
vehicle,RF,0.15,13,0.1698
vehicle,RF,0.15,99,0.1418
vehicle,RF,0.2,42,0.1375
vehicle,RF,0.2,1,0.1294
vehicle,RF,0.2,7,0.1462
vehicle,RF,0.2,13,0.1508
vehicle,RF,0.2,99,0.1439
vehicle,RF,0.25,42,0.1193
vehicle,RF,0.25,1,0.1317
vehicle,RF,0.25,7,0.118
vehicle,RF,0.25,13,0.1226
vehicle,RF,0.25,99,0.1227
vehicle,RF,0.3,42,0.1158
vehicle,RF,0.3,1,0.1286
vehicle,RF,0.3,7,0.1211
vehicle,RF,0.3,13,0.1194
vehicle,RF,0.3,99,0.1116
vehicle,RF,0.35,42,0.1244
vehicle,RF,0.35,1,0.1037
vehicle,RF,0.35,7,0.1126
vehicle,RF,0.35,13,0.132
vehicle,RF,0.35,99,0.1088
letter,LogReg,0.05,42,0.4939
letter,LogReg,0.05,1,0.5113
letter,LogReg,0.05,7,0.4964
letter,LogReg,0.05,13,0.4962
letter,LogReg,0.05,99,0.5098
letter,LogReg,0.1,42,0.5474
letter,LogReg,0.1,1,0.57
letter,LogReg,0.1,7,0.5596
letter,LogReg,0.1,13,0.5544
letter,LogReg,0.1,99,0.5654
letter,LogReg,0.15,42,0.5538
letter,LogReg,0.15,1,0.5683
letter,LogReg,0.15,7,0.5735
letter,LogReg,0.15,13,0.5695
letter,LogReg,0.15,99,0.5713
letter,LogReg,0.2,42,0.5549
letter,LogReg,0.2,1,0.5656
letter,LogReg,0.2,7,0.572
letter,LogReg,0.2,13,0.5612
letter,LogReg,0.2,99,0.5563
letter,LogReg,0.25,42,0.514
letter,LogReg,0.25,1,0.4696
letter,LogReg,0.25,7,0.5182
letter,LogReg,0.25,13,0.4992
letter,LogReg,0.25,99,0.5255
letter,LogReg,0.3,42,0.4062
letter,LogReg,0.3,1,0.3483
letter,LogReg,0.3,7,0.4301
letter,LogReg,0.3,13,0.4212
letter,LogReg,0.3,99,0.417
letter,LogReg,0.35,42,
letter,LogReg,0.35,1,0.0438
letter,LogReg,0.35,7,0.2427
letter,LogReg,0.35,13,
letter,LogReg,0.35,99,
letter,RF,0.05,42,0.0591
letter,RF,0.05,1,0.0597
letter,RF,0.05,7,0.0566
letter,RF,0.05,13,0.0677
letter,RF,0.05,99,0.0527
letter,RF,0.1,42,0.0791
letter,RF,0.1,1,0.0698
letter,RF,0.1,7,0.0771
letter,RF,0.1,13,0.0838
letter,RF,0.1,99,0.074
letter,RF,0.15,42,0.0866
letter,RF,0.15,1,0.0912
letter,RF,0.15,7,0.0883
letter,RF,0.15,13,0.0949
letter,RF,0.15,99,0.0886
letter,RF,0.2,42,0.0875
letter,RF,0.2,1,0.0996
letter,RF,0.2,7,0.0814
letter,RF,0.2,13,0.0892
letter,RF,0.2,99,0.0865
letter,RF,0.25,42,0.0911
letter,RF,0.25,1,0.0859
letter,RF,0.25,7,0.0802
letter,RF,0.25,13,0.0943
letter,RF,0.25,99,0.0645
letter,RF,0.3,42,0.0651
letter,RF,0.3,1,0.0986
letter,RF,0.3,7,0.0701
letter,RF,0.3,13,0.0628
letter,RF,0.3,99,0.0918
letter,RF,0.35,42,
letter,RF,0.35,1,0.0299
letter,RF,0.35,7,0.0333
letter,RF,0.35,13,
letter,RF,0.35,99,
